sample_id_int,sample_id,label,label_orig,group_id,title,description,text,split
81587,agnews_train_081587,1,2,1,Radcliffe facing tall order after Athens,"THERE is a point on the New York City Marathon course, at about 15 miles, where the runners cross the Queensboro Bridge and catch a view of the Empire State Building over to their left.","Radcliffe facing tall order after Athens THERE is a point on the New York City Marathon course, at about 15 miles, where the runners cross the Queensboro Bridge and catch a view of the Empire State Building over to their left.",train
1383,agnews_train_001383,0,1,0,Iraqi Delegation Flies to Najaf in Peace Bid," BAGHDAD (Reuters) - A delegation of Iraqi political and  religious leaders flew out of Baghdad on U.S. military  helicopters Tuesday, heading for Najaf in a bid to end a bloody  Shi'ite uprising, delegates said.","Iraqi Delegation Flies to Najaf in Peace Bid BAGHDAD (Reuters) - A delegation of Iraqi political and  religious leaders flew out of Baghdad on U.S. military  helicopters Tuesday, heading for Najaf in a bid to end a bloody  Shi'ite uprising, delegates said.",train
50228,agnews_train_050228,1,2,1,Jonny realises England dream,"Jonny Wilkinson has realised his dream by being named as England #39;s new captain. The Newcastle Falcons fly-half will lead England in the three November Tests against Canada, Australia and South Africa.","Jonny realises England dream Jonny Wilkinson has realised his dream by being named as England #39;s new captain. The Newcastle Falcons fly-half will lead England in the three November Tests against Canada, Australia and South Africa.",train
55300,agnews_train_055300,2,3,2,Boeing 767 deal on path to defeat,Congress may kill the Air Force #39;s plan to lease refueling tankers from the Boeing Co. By Bryan Corliss. Congress appears poised to reject the Boeing Co.,Boeing 767 deal on path to defeat Congress may kill the Air Force #39;s plan to lease refueling tankers from the Boeing Co. By Bryan Corliss. Congress appears poised to reject the Boeing Co.,train
23107,agnews_train_023107,2,3,2,"VW likely to cut 30,000 jobs if negotiations fail","Volkswagen AG, Europe #39;s biggest carmaker, may cut 30,000 jobs, or almost a fifth of its German workforce, if the labour union representing workers does not agree to a wage ","VW likely to cut 30,000 jobs if negotiations fail Volkswagen AG, Europe #39;s biggest carmaker, may cut 30,000 jobs, or almost a fifth of its German workforce, if the labour union representing workers does not agree to a wage",train
9993,agnews_train_009993,0,1,0,Militant cleric charged in 2003 hotel bombing,JAKARTA A militant Muslim cleric was charged Wednesday under a tough antiterrorism law in the bombing of a Jakarta hotel and could face the death penalty if convicted.,Militant cleric charged in 2003 hotel bombing JAKARTA A militant Muslim cleric was charged Wednesday under a tough antiterrorism law in the bombing of a Jakarta hotel and could face the death penalty if convicted.,train
78598,agnews_train_078598,1,2,1,"Johansson, Novak, Youzhny take tennis titles","Sweden #39;s Thomas Johansson claimed his first title since the 2002 Australian Open with a come from behind 3-6, 6-3, 7-6 victory over American top seed Andre Agassi in the final of the Stockholm Open overnight.","Johansson, Novak, Youzhny take tennis titles Sweden #39;s Thomas Johansson claimed his first title since the 2002 Australian Open with a come from behind 3-6, 6-3, 7-6 victory over American top seed Andre Agassi in the final of the Stockholm Open overnight.",train
112195,agnews_train_112195,3,4,3,Hollywood split as Disney backs Blu-ray,"With the Blu-ray Disc Association securing non-exclusive backing from Disney, the major Hollywood studios are split down the middle over next-generation DVD.","Hollywood split as Disney backs Blu-ray With the Blu-ray Disc Association securing non-exclusive backing from Disney, the major Hollywood studios are split down the middle over next-generation DVD.",train
31882,agnews_train_031882,0,1,0,Final US volunteers leave Nepal,The last US Peace Corps volunteers leave Nepal after security fears force the suspension of operations.,Final US volunteers leave Nepal The last US Peace Corps volunteers leave Nepal after security fears force the suspension of operations.,train
64882,agnews_train_064882,2,3,2,Kmart hires fast-food exec as CEO 'and agent of change' (USATODAY.com),"USATODAY.com - Retailer Kmart Holding (KMRT) has appointed Aylwin Lewis, formerly an executive at restaurant operator Yum Brands (YUM), as its chief executive and president.","Kmart hires fast-food exec as CEO 'and agent of change' (USATODAY.com) USATODAY.com - Retailer Kmart Holding (KMRT) has appointed Aylwin Lewis, formerly an executive at restaurant operator Yum Brands (YUM), as its chief executive and president.",train
48905,agnews_train_048905,3,4,3,Delaware to see Oracle-PeopleSoft (TheDeal.com),"TheDeal.com - The takeover fight moves to Delaware's Court of Chancery, even as PeopleSoft dismisses its CEO.","Delaware to see Oracle-PeopleSoft (TheDeal.com) TheDeal.com - The takeover fight moves to Delaware's Court of Chancery, even as PeopleSoft dismisses its CEO.",train
961,agnews_train_000961,2,3,2,KMart Posts Profit; Cash Hits \$2.6 Bln," CHICAGO (Reuters) - Kmart Holdings Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KMRT.O target=/stocks/quickinfo/fullquote""&gt;KMRT.O&lt;/A&gt; on Monday  reported its third consecutive quarterly profit and boosted its  cash pile to \$2.6 billion as it cut spending on advertising and  discounts, sending its stock up 14 percent.","KMart Posts Profit; Cash Hits \$2.6 Bln CHICAGO (Reuters) - Kmart Holdings Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KMRT.O target=/stocks/quickinfo/fullquote""&gt;KMRT.O&lt;/A&gt; on Monday  reported its third consecutive quarterly profit and boosted its  cash pile to \$2.6 billion as it cut spending on advertising and  discounts, sending its stock up 14 percent.",train
4848,agnews_train_004848,2,3,2,Nortel #39;s new chief gets down to business,"William Owens, the new chief executive of Nortel Networks Corp., is putting his personal stamp on the organization. ","Nortel #39;s new chief gets down to business William Owens, the new chief executive of Nortel Networks Corp., is putting his personal stamp on the organization.",train
119957,agnews_train_119957,2,3,2,MetLife may be sued over Boston unit,"MetLife Inc. , the second-largest US life insurer, said the Securities and Exchange Commission may sue the company for improperly recording expenses at its New England Life Insurance Co. unit.","MetLife may be sued over Boston unit MetLife Inc. , the second-largest US life insurer, said the Securities and Exchange Commission may sue the company for improperly recording expenses at its New England Life Insurance Co. unit.",train
9557,agnews_train_009557,3,4,3,Japan Plans to Launch Spy Satellites (AP),"AP - A Japanese government panel has approved plans to send two spy satellites into Earth's orbit beginning next year, a media report said Wednesday.","Japan Plans to Launch Spy Satellites (AP) AP - A Japanese government panel has approved plans to send two spy satellites into Earth's orbit beginning next year, a media report said Wednesday.",train
33881,agnews_train_033881,0,1,0,Football legend Clough dies of stomach cancer (AFP),"AFP - Legendary manager Brian Clough, who led unfashionable Nottingham Forest to two European Cup titles, has died of stomach cancer aged 69.","Football legend Clough dies of stomach cancer (AFP) AFP - Legendary manager Brian Clough, who led unfashionable Nottingham Forest to two European Cup titles, has died of stomach cancer aged 69.",train
50056,agnews_train_050056,2,3,2,AMD sees slightly lower sales for Q3,"Advanced Micro Devices (AMD) expects to report slightly lower-than-expected sales for its third quarter when it announces earnings results on Thursday, the company said in a release Monday.","AMD sees slightly lower sales for Q3 Advanced Micro Devices (AMD) expects to report slightly lower-than-expected sales for its third quarter when it announces earnings results on Thursday, the company said in a release Monday.",train
119166,agnews_train_119166,2,3,2,EBay buys Rent.com,"EBay today announced plans to purchase Rent.com, making its entrance into the online real estate category in a deal valued at approximately \$415 million.","EBay buys Rent.com EBay today announced plans to purchase Rent.com, making its entrance into the online real estate category in a deal valued at approximately \$415 million.",train
25066,agnews_train_025066,1,2,1,Ghostzapper captures Woodward,"NEW YORK -- Ghostzapper, by a neck. In a thrilling stretchlong duel down the middle of the track, a gallant Ghostzapper held off Saint Liam and won yesterday's \$500,000 Woodward Stakes, one of three Grade I races at Belmont Park leading up to the Breeders' Cup Oct. 30.","Ghostzapper captures Woodward NEW YORK -- Ghostzapper, by a neck. In a thrilling stretchlong duel down the middle of the track, a gallant Ghostzapper held off Saint Liam and won yesterday's \$500,000 Woodward Stakes, one of three Grade I races at Belmont Park leading up to the Breeders' Cup Oct. 30.",train
36332,agnews_train_036332,2,3,2,Shell switch in strategy fails to win support of investors,"Shell, the Anglo-Dutch oil giant, warned yesterday that production is likely to remain flat for the next five years as it accelerates the disposal of unwanted assets and ","Shell switch in strategy fails to win support of investors Shell, the Anglo-Dutch oil giant, warned yesterday that production is likely to remain flat for the next five years as it accelerates the disposal of unwanted assets and",train
37715,agnews_train_037715,0,1,0,Suicide 'determined at birth',A Swedish team believes the chances of a person committing suicide is partly determined as early as birth.,Suicide 'determined at birth' A Swedish team believes the chances of a person committing suicide is partly determined as early as birth.,train
56403,agnews_train_056403,2,3,2,Procter   Gamble Makes On-Demand Ad (Reuters),"Reuters - U.S. television viewers have begun to\prize the on-demand services that let them choose the programs\they want, when they want them, but will they do the same for\advertising?","Procter   Gamble Makes On-Demand Ad (Reuters) Reuters - U.S. television viewers have begun to\prize the on-demand services that let them choose the programs\they want, when they want them, but will they do the same for\advertising?",train
66559,agnews_train_066559,3,4,3,MSN Lets You Blog,"Hoping to keep more internet users in its branded universe, Microsoft has become the latest company to offer blogging to the masses.","MSN Lets You Blog Hoping to keep more internet users in its branded universe, Microsoft has become the latest company to offer blogging to the masses.",train
48883,agnews_train_048883,1,2,1,Juventus stretches Serie A lead with 1-0 win at Udinese,Juventus beat Udinese 1-0 on a second-half goal by Uruguayan striker Marcelo Zalayeta and stretched its Serie A lead to two points ahead of surprising Messina on Sunday.,Juventus stretches Serie A lead with 1-0 win at Udinese Juventus beat Udinese 1-0 on a second-half goal by Uruguayan striker Marcelo Zalayeta and stretched its Serie A lead to two points ahead of surprising Messina on Sunday.,train
37593,agnews_train_037593,1,2,1,Kutluay lit up US Olympic team,"Seattle SuperSonics: The Sonics signed Turkish shooting guard Ibrahim Kutluay, who lit up the United States Olympic team in a pair of exhibition games this summer.","Kutluay lit up US Olympic team Seattle SuperSonics: The Sonics signed Turkish shooting guard Ibrahim Kutluay, who lit up the United States Olympic team in a pair of exhibition games this summer.",train
55046,agnews_train_055046,0,1,0,Afghans vote in first elections under shadow of violence (AFP),"AFP - Afghans vote Saturday in the first direct presidential elections in their history, under the threat of violence from anti-US militants and Osama bin Laden's terror network.","Afghans vote in first elections under shadow of violence (AFP) AFP - Afghans vote Saturday in the first direct presidential elections in their history, under the threat of violence from anti-US militants and Osama bin Laden's terror network.",train
35345,agnews_train_035345,2,3,2,Shell seeks to reassure investors,The Anglo-Dutch oil firm sets out to woo investors by explaining how it will boost its oil reserves at an analysts' briefing on Wednesday.,Shell seeks to reassure investors The Anglo-Dutch oil firm sets out to woo investors by explaining how it will boost its oil reserves at an analysts' briefing on Wednesday.,train
76085,agnews_train_076085,0,1,0,Gay Ordination: Obasanjo Backs African Bishops,President Olusegun Obasanjo has praised Anglican bishops from Africa for what he called their principled stand against homosexuality.,Gay Ordination: Obasanjo Backs African Bishops President Olusegun Obasanjo has praised Anglican bishops from Africa for what he called their principled stand against homosexuality.,train
26795,agnews_train_026795,1,2,1,Baseball Today (AP),AP - Houston at St. Louis (8:10 p.m. EDT). Roger Clemens (16-4) starts for Houston against Jeff Suppan (15-6) and the major league-leading Cardinals.,Baseball Today (AP) AP - Houston at St. Louis (8:10 p.m. EDT). Roger Clemens (16-4) starts for Houston against Jeff Suppan (15-6) and the major league-leading Cardinals.,train
28361,agnews_train_028361,2,3,2,Oil Steady as Ivan Balances OPEC Hike, LONDON (Reuters) - Oil prices were steady on Wednesday as  Hurricane Ivan's effect on crude output and refineries in the  Gulf of Mexico balanced OPEC's attempts to reassure traders  with a four percent output ceiling hike.,Oil Steady as Ivan Balances OPEC Hike LONDON (Reuters) - Oil prices were steady on Wednesday as  Hurricane Ivan's effect on crude output and refineries in the  Gulf of Mexico balanced OPEC's attempts to reassure traders  with a four percent output ceiling hike.,train
112049,agnews_train_112049,3,4,3,PalmSource set to acquire China MobileSoft,US-based software developer PalmSource Inc. said Wednesday it had entered agreement to acquire China MobileSoft Ltd. in a bid to extend its market as a software provider for cell phones and mobile devices.,PalmSource set to acquire China MobileSoft US-based software developer PalmSource Inc. said Wednesday it had entered agreement to acquire China MobileSoft Ltd. in a bid to extend its market as a software provider for cell phones and mobile devices.,train
925,agnews_train_000925,0,1,0,"Speed Up Saddam's Trial, Allawi Tells Court", BAGHDAD (Reuters) - Interim Prime Minister Iyad Allawi  urged an Iraqi court Monday to speed up proceedings against  toppled leader Saddam Hussein and his close aides.,"Speed Up Saddam's Trial, Allawi Tells Court BAGHDAD (Reuters) - Interim Prime Minister Iyad Allawi  urged an Iraqi court Monday to speed up proceedings against  toppled leader Saddam Hussein and his close aides.",train
11427,agnews_train_011427,0,1,0,Police Shoot and Kill Hostage Taker in Toronto,"Toronto police shot and killed a man who was holding a woman hostage in the city #39;s business core on Wednesday, ending a standoff that brought morning rush-hour traffic to a gridlocked standstill.","Police Shoot and Kill Hostage Taker in Toronto Toronto police shot and killed a man who was holding a woman hostage in the city #39;s business core on Wednesday, ending a standoff that brought morning rush-hour traffic to a gridlocked standstill.",train
31863,agnews_train_031863,0,1,0,Records Show Commander Wrote to Bush Sr.,WASHINGTON - The latest records to surface from President Bush's service in the Texas Air National Guard show that one commander took an unusual interest in the congressman's son during his basic training.    The officer in charge of the unit where Bush took his basic training wrote to then-Rep...,Records Show Commander Wrote to Bush Sr. WASHINGTON - The latest records to surface from President Bush's service in the Texas Air National Guard show that one commander took an unusual interest in the congressman's son during his basic training.    The officer in charge of the unit where Bush took his basic training wrote to then-Rep...,train
58524,agnews_train_058524,3,4,3,U.S. Seeks to Stop a Spyware Operation (AP),"AP - In what regulators are calling a first, the government has asked for a court order to shut down a spyware operation.","U.S. Seeks to Stop a Spyware Operation (AP) AP - In what regulators are calling a first, the government has asked for a court order to shut down a spyware operation.",train
34600,agnews_train_034600,3,4,3,Gaming Godzillas Prepare for Battle (washingtonpost.com),"washingtonpost.com - Let the games begin. Not the Olympics again, but the all-out battle between video game giants Sony Corp. and Nintendo Co. Ltd. The two Japanese companies are rolling out new gaming consoles, but Nintendo has beaten Sony to the punch by announcing an earlier launch date for its new hand-held game player.","Gaming Godzillas Prepare for Battle (washingtonpost.com) washingtonpost.com - Let the games begin. Not the Olympics again, but the all-out battle between video game giants Sony Corp. and Nintendo Co. Ltd. The two Japanese companies are rolling out new gaming consoles, but Nintendo has beaten Sony to the punch by announcing an earlier launch date for its new hand-held game player.",train
19917,agnews_train_019917,0,1,0,Algerian Al Qaeda Ally Says Appoints New Leader (Reuters),"Reuters - Algeria's largest Islamic rebel group\with ties to al Qaeda said it has appointed a new chief, known\as an explosives expert, as it tries to regroup following the\loss of key leaders in recent gun battles with authorities.","Algerian Al Qaeda Ally Says Appoints New Leader (Reuters) Reuters - Algeria's largest Islamic rebel group\with ties to al Qaeda said it has appointed a new chief, known\as an explosives expert, as it tries to regroup following the\loss of key leaders in recent gun battles with authorities.",train
70662,agnews_train_070662,0,1,0,Secretary of State Powell in China for Talks on North Korea,Secretary of State Colin Powell is in China as part of a three-nation Asian tour to try to restart multi-party talks on North Korea #39;s nuclear program.,Secretary of State Powell in China for Talks on North Korea Secretary of State Colin Powell is in China as part of a three-nation Asian tour to try to restart multi-party talks on North Korea #39;s nuclear program.,train
101906,agnews_train_101906,0,1,0,Free radio seeks a new format ,"PRAGUE -- Ronald Reagan used it to reach out to the Soviets during the Cold War. Lech Walesa, the leader of Poland's Solidarity movement, likened it to the sun lighting the earth. Rock band R.E.M. immortalized it in a cynical hit song.","Free radio seeks a new format PRAGUE -- Ronald Reagan used it to reach out to the Soviets during the Cold War. Lech Walesa, the leader of Poland's Solidarity movement, likened it to the sun lighting the earth. Rock band R.E.M. immortalized it in a cynical hit song.",train
85833,agnews_train_085833,3,4,3,Microsoft Sees  #36;100 Million First Day for 'Halo 2' (Reuters),"Reuters - First-day sales of Microsoft\Corp.'s  new video game ""Halo 2"" will reach  #36;100\million, a senior Microsoft games executive said on Tuesday.","Microsoft Sees  #36;100 Million First Day for 'Halo 2' (Reuters) Reuters - First-day sales of Microsoft\Corp.'s  new video game ""Halo 2"" will reach  #36;100\million, a senior Microsoft games executive said on Tuesday.",train
34138,agnews_train_034138,1,2,1,Blue Jays Rookie Pitcher Handcuffs Yankees (AP),"AP - Gustavo Chacin became the first lefty starter to win his major league debut against the Yankees in the Joe Torre era, pitching the Toronto Blue Jays past New York 6-3 Monday night.","Blue Jays Rookie Pitcher Handcuffs Yankees (AP) AP - Gustavo Chacin became the first lefty starter to win his major league debut against the Yankees in the Joe Torre era, pitching the Toronto Blue Jays past New York 6-3 Monday night.",train
84500,agnews_train_084500,2,3,2,BT set to re-enter US market with \$1bn purchase,"BT Group is poised for a surprise return to the US market with a planned \$1bn acquisition of Infonet Services, a California-based telecoms service provider.","BT set to re-enter US market with \$1bn purchase BT Group is poised for a surprise return to the US market with a planned \$1bn acquisition of Infonet Services, a California-based telecoms service provider.",train
107833,agnews_train_107833,0,1,0,Iran #39;s Nuclear Issue,"Sometimes it helps just to open an atlas and stare for a few moments. I did so this morning, checking out the Southwestern Asia map (#98) of the National Geographic Atlas of the World (a handsome volume, by the way).","Iran #39;s Nuclear Issue Sometimes it helps just to open an atlas and stare for a few moments. I did so this morning, checking out the Southwestern Asia map (#98) of the National Geographic Atlas of the World (a handsome volume, by the way).",train
8807,agnews_train_008807,2,3,2,US Airways talks with pilots collapse,Negotiations between US Airways Group Inc. and its pilots union over labor concessions collapsed Monday. The airline is seeking \$295 million in annual concessions from pilots.,US Airways talks with pilots collapse Negotiations between US Airways Group Inc. and its pilots union over labor concessions collapsed Monday. The airline is seeking \$295 million in annual concessions from pilots.,train
38557,agnews_train_038557,3,4,3,So what is it about Win2k security MS &lt;u&gt;won't&lt;/u&gt; enhance?,Expect clarification soonest,So what is it about Win2k security MS &lt;u&gt;won't&lt;/u&gt; enhance? Expect clarification soonest,train
77518,agnews_train_077518,1,2,1,Mauresmo charges into Linz semis,"Linz, Austria (Sports Network) - Former world No. 1 Amelie Mauresmo of France led the parade into the semifinals at the \$585,000 Generali Ladies Linz tennis event.","Mauresmo charges into Linz semis Linz, Austria (Sports Network) - Former world No. 1 Amelie Mauresmo of France led the parade into the semifinals at the \$585,000 Generali Ladies Linz tennis event.",train
31272,agnews_train_031272,3,4,3,German teen who made Sasser worm hired by computer security firm (AFP),"AFP - A German teenager accused of creating the Sasser worm that infected millions of computers around the world is being taught to become a security software programmer, the company that hired him said.","German teen who made Sasser worm hired by computer security firm (AFP) AFP - A German teenager accused of creating the Sasser worm that infected millions of computers around the world is being taught to become a security software programmer, the company that hired him said.",train
106799,agnews_train_106799,0,1,0,Colombia Congress OKs Re-Election Bill,"Colombia's Congress gave final approval to a bill to allow President Alvaro Uribe to run for re-election, a move aimed at giving the hard-line leader more time to fight a leftist insurgency and drug trafficking.","Colombia Congress OKs Re-Election Bill Colombia's Congress gave final approval to a bill to allow President Alvaro Uribe to run for re-election, a move aimed at giving the hard-line leader more time to fight a leftist insurgency and drug trafficking.",train
43276,agnews_train_043276,1,2,1,Bills offense in line for trouble,"Here #39;s what Buffalo Bills offensive line coach Jim McNally sees when he looks at the Patriots stats, news #39; defense: They #39;re sound and have terrific coaching.","Bills offense in line for trouble Here #39;s what Buffalo Bills offensive line coach Jim McNally sees when he looks at the Patriots stats, news #39; defense: They #39;re sound and have terrific coaching.",train
107784,agnews_train_107784,0,1,0,Corzine to Run for Governor of New Jersey,"The announcement by Jon S. Corzine, whose riches helped make him a U.S. senator, was widely anticipated.","Corzine to Run for Governor of New Jersey The announcement by Jon S. Corzine, whose riches helped make him a U.S. senator, was widely anticipated.",train
47434,agnews_train_047434,1,2,1,Wakefield's ending is a happy one,"All Tim Wakefield needed to do last night, it turned out, was pitch adequately and emerge uninjured to secure a spot in the postseason rotation. He did both, prompting the Red Sox to announce after an 8-3 victory over the Orioles at Camden Yards that Wakefield and Bronson Arroyo would pitch Games 3 and 4 of the American ...","Wakefield's ending is a happy one All Tim Wakefield needed to do last night, it turned out, was pitch adequately and emerge uninjured to secure a spot in the postseason rotation. He did both, prompting the Red Sox to announce after an 8-3 victory over the Orioles at Camden Yards that Wakefield and Bronson Arroyo would pitch Games 3 and 4 of the American ...",train
85900,agnews_train_085900,3,4,3,Got Firefox?,"I #39;m dating myself here, but I can vividly recall the web browser scene ten years ago, when I #39;d eagerly download every new version of Netscape Navigator the moment it was released.","Got Firefox? I #39;m dating myself here, but I can vividly recall the web browser scene ten years ago, when I #39;d eagerly download every new version of Netscape Navigator the moment it was released.",train
25746,agnews_train_025746,2,3,2,UPDATE 3-Bayer and Schering-Plough form drugs alliance,"Bayer AG forged an alliance for its struggling pharmaceuticals business with US drugmaker Schering-Plough on Monday, cutting costs and marking another step in the German company #39;s transformation.","UPDATE 3-Bayer and Schering-Plough form drugs alliance Bayer AG forged an alliance for its struggling pharmaceuticals business with US drugmaker Schering-Plough on Monday, cutting costs and marking another step in the German company #39;s transformation.",train
77021,agnews_train_077021,3,4,3,Mandrake goes Official with Linux,"MORENO VALLEY, Calif., and PARIS, Oct. 28 - Mandrakesoft has released Mandrakelinux 10.1 Official, the latest version of its Linux operating system.","Mandrake goes Official with Linux MORENO VALLEY, Calif., and PARIS, Oct. 28 - Mandrakesoft has released Mandrakelinux 10.1 Official, the latest version of its Linux operating system.",train
85083,agnews_train_085083,1,2,1,Mike Danton Sentenced to 7 1/2 Years (AP),AP - Former St. Louis Blues player Mike Danton was sentenced Monday to 7 1/2 years in prison for trying to have his agent killed.,Mike Danton Sentenced to 7 1/2 Years (AP) AP - Former St. Louis Blues player Mike Danton was sentenced Monday to 7 1/2 years in prison for trying to have his agent killed.,train
73738,agnews_train_073738,0,1,0,Bush Keeps Three-Point Lead on Kerry -Reuters Poll (Reuters),"Reuters - President Bush held a three-point\lead over Democratic rival John Kerry nationwide and slightly\strengthened his leads in the vital states of Ohio and Florida,\according to Reuters/Zogby polls released on Tuesday.","Bush Keeps Three-Point Lead on Kerry -Reuters Poll (Reuters) Reuters - President Bush held a three-point\lead over Democratic rival John Kerry nationwide and slightly\strengthened his leads in the vital states of Ohio and Florida,\according to Reuters/Zogby polls released on Tuesday.",train
34858,agnews_train_034858,0,1,0,Indonesia poll cheers investors,Jakarta stocks end on record highs as incoming results show Susilo Yudhoyono will be Indonesia's next leader.,Indonesia poll cheers investors Jakarta stocks end on record highs as incoming results show Susilo Yudhoyono will be Indonesia's next leader.,train
65127,agnews_train_065127,0,1,0,Charity worker kidnapped in Iraq,"Margaret Hassan, who #39;s head of Care International #39;s operations in Iraq, was taken in capital Baghdad by an Iraqi group who haven #39;t named themselves.","Charity worker kidnapped in Iraq Margaret Hassan, who #39;s head of Care International #39;s operations in Iraq, was taken in capital Baghdad by an Iraqi group who haven #39;t named themselves.",train
17497,agnews_train_017497,2,3,2,Allied Domecq Says Profit Rose on US Spirits Demand (Update2),"Allied Domecq Plc, the world #39;s second- largest liquor maker, said fiscal 2004 earnings rose on US demand for spirits including Malibu rum.","Allied Domecq Says Profit Rose on US Spirits Demand (Update2) Allied Domecq Plc, the world #39;s second- largest liquor maker, said fiscal 2004 earnings rose on US demand for spirits including Malibu rum.",train
116581,agnews_train_116581,2,3,2,Basilea in Talks with J J Over Antibiotic, ZURICH (Reuters) - Switzerland's Basilea is in talks with a  subsidiary of healthcare and consumer products maker Johnson    Johnson over a licensing agreement for the Swiss biotech firm's  BAL5788 antibiotic.,Basilea in Talks with J J Over Antibiotic ZURICH (Reuters) - Switzerland's Basilea is in talks with a  subsidiary of healthcare and consumer products maker Johnson    Johnson over a licensing agreement for the Swiss biotech firm's  BAL5788 antibiotic.,train
63318,agnews_train_063318,1,2,1,He's a fast learner,FOXBOROUGH -- For a long time yesterday the men and women huddled four rows deep around Bethel Johnson's locker knew what Terreal Bierria felt like 45 minutes earlier. Bethel Johnson was behind them.,He's a fast learner FOXBOROUGH -- For a long time yesterday the men and women huddled four rows deep around Bethel Johnson's locker knew what Terreal Bierria felt like 45 minutes earlier. Bethel Johnson was behind them.,train
