sample_id,label,label_orig,group_id,title,description,text,split
agnews_test_003495,2,3,2,Trading blows,"When a can of worms is opened, all manner of slimy things crawl out. So it was when the US government fired the first shots in a fusillade against the European Union - by complaining to the World Trade Organisation ","Trading blows When a can of worms is opened, all manner of slimy things crawl out. So it was when the US government fired the first shots in a fusillade against the European Union - by complaining to the World Trade Organisation",test
agnews_test_001738,1,2,1,Nedved to rejoin Czech national team after injury healed,"Czech captain Pavel Nedved will return to the national soccer team once his knee is completely healed, he said in a statement which his manager Zdenek Nehoda provided Tuesday.","Nedved to rejoin Czech national team after injury healed Czech captain Pavel Nedved will return to the national soccer team once his knee is completely healed, he said in a statement which his manager Zdenek Nehoda provided Tuesday.",test
agnews_test_006476,2,3,2,Nissan #39;s supply shortage sends steel stocks up,"US steelmakers #39; shares rose sharply yesterday, with US Steel, Allegheny Technologies and Nucor (which operates a mill in Seattle) reaching their highest prices in at least seven years, after Nissan said the metal is in short supply in Japan.","Nissan #39;s supply shortage sends steel stocks up US steelmakers #39; shares rose sharply yesterday, with US Steel, Allegheny Technologies and Nucor (which operates a mill in Seattle) reaching their highest prices in at least seven years, after Nissan said the metal is in short supply in Japan.",test
agnews_test_003126,1,2,1,Reeling Pack sends McKenzie to New Orleans,"Green Bay #39;s front office apparently had seen enough of cornerback Mike McKenzie. His holdout and mystery hamstring injury, which had kept him out of the past ","Reeling Pack sends McKenzie to New Orleans Green Bay #39;s front office apparently had seen enough of cornerback Mike McKenzie. His holdout and mystery hamstring injury, which had kept him out of the past",test
agnews_test_001562,0,1,0,Orthodox patriarch killed in Greek air crash,"ATHENSEgypt #39;s Patriarch of Alexandria, whose post traces its lineage to one of Christ #39;s disciples, was killed with his Greek Orthodox retinue yesterday in a helicopter crash, Greek authorities confirmed.","Orthodox patriarch killed in Greek air crash ATHENSEgypt #39;s Patriarch of Alexandria, whose post traces its lineage to one of Christ #39;s disciples, was killed with his Greek Orthodox retinue yesterday in a helicopter crash, Greek authorities confirmed.",test
agnews_test_004190,1,2,1,Henman crushes Costa,"MADRID, Oct. 20. - Top-seeded Tim Henman of Britain was all praise for the novel idea of replacing ball boys and girls with fashion models at the Madrid Masters, after thrashing Spaniard Albert Costa 6-4, 6-2, on Wednesday.","Henman crushes Costa MADRID, Oct. 20. - Top-seeded Tim Henman of Britain was all praise for the novel idea of replacing ball boys and girls with fashion models at the Madrid Masters, after thrashing Spaniard Albert Costa 6-4, 6-2, on Wednesday.",test
agnews_test_003537,3,4,3,Shock Jock Group Boosts Satellite Radio Profile,"When radio shock jocks Opie and Anthony considered their next career move after two firings in four years, the twisted twosome was ready to feign rehabilitation. Or at least that was the plan when they sat down with satellite radio executives.","Shock Jock Group Boosts Satellite Radio Profile When radio shock jocks Opie and Anthony considered their next career move after two firings in four years, the twisted twosome was ready to feign rehabilitation. Or at least that was the plan when they sat down with satellite radio executives.",test
agnews_test_005461,3,4,3,Energy Dept. funds open-source InfiniBand work,Three-year project will back programmers' effort to build Linux software support for the high-speed networking technology.,Energy Dept. funds open-source InfiniBand work Three-year project will back programmers' effort to build Linux software support for the high-speed networking technology.,test
agnews_test_007114,2,3,2,OPEC Agrees to Cut Oil Output in Bid to Firm Up Prices,"OPEC oil ministers agreed today to cut oil production by one million barrels a day to stem a 24 percent price slide in the past six weeks, and they called for an emergency meeting ","OPEC Agrees to Cut Oil Output in Bid to Firm Up Prices OPEC oil ministers agreed today to cut oil production by one million barrels a day to stem a 24 percent price slide in the past six weeks, and they called for an emergency meeting",test
agnews_test_007496,2,3,2,Guidant merges with Johnson and Johnson,"Indianapolis, Dec. 16 - An announcement Thursday morning ends weeks of speculation and means that if Guidant shareholders sign off, Indiana will lose one of its few Fortune 500 companies.","Guidant merges with Johnson and Johnson Indianapolis, Dec. 16 - An announcement Thursday morning ends weeks of speculation and means that if Guidant shareholders sign off, Indiana will lose one of its few Fortune 500 companies.",test
agnews_test_000692,1,2,1,AL Wrap: Oakland's Durazo Piles on Misery for Baltimore, NEW YORK (Reuters) - Erubiel Durazo's three-run homer in  the second inning helped the Oakland Athletics remain top of  the American League (AL) West with a 9-4 win over the reeling  Baltimore Orioles Thursday.,AL Wrap: Oakland's Durazo Piles on Misery for Baltimore NEW YORK (Reuters) - Erubiel Durazo's three-run homer in  the second inning helped the Oakland Athletics remain top of  the American League (AL) West with a 9-4 win over the reeling  Baltimore Orioles Thursday.,test
agnews_test_004910,0,1,0,Japan confirms captive in Iraq beheaded,"Japan has confirmed that the headless body found in Baghdad on Saturday is of the Japanese being held captive in Iraq. An armed group in Iraq had on Tuesday threatened to behead Shosei Koda, 24, within 48-hours unless Japan pulled its troops out of Iraq.","Japan confirms captive in Iraq beheaded Japan has confirmed that the headless body found in Baghdad on Saturday is of the Japanese being held captive in Iraq. An armed group in Iraq had on Tuesday threatened to behead Shosei Koda, 24, within 48-hours unless Japan pulled its troops out of Iraq.",test
agnews_test_003224,0,1,0,US Stops Short of Backing Brazil on UN Council Seat,The United States stopped short of endorsing Brazil #39;s ambition for a permanent seat on an expanded UN Security Council but did say the country would be a  quot;solid candidate.,US Stops Short of Backing Brazil on UN Council Seat The United States stopped short of endorsing Brazil #39;s ambition for a permanent seat on an expanded UN Security Council but did say the country would be a  quot;solid candidate.,test
agnews_test_003238,1,2,1,Titans Receiver Out With Knee Injury (AP),AP - Tennessee receiver Tyrone Calico will miss at least two to three weeks with torn cartilage in his left knee  #151; another big loss for the Titans' receiving corps.,Titans Receiver Out With Knee Injury (AP) AP - Tennessee receiver Tyrone Calico will miss at least two to three weeks with torn cartilage in his left knee  #151; another big loss for the Titans' receiving corps.,test
agnews_test_004771,3,4,3,"Link Between Migraine, Endometriosis Found","There #39;s evidence of a possible link between endometriosis and migraine, says an Italian study in the latest issue of Human Reproduction.","Link Between Migraine, Endometriosis Found There #39;s evidence of a possible link between endometriosis and migraine, says an Italian study in the latest issue of Human Reproduction.",test
agnews_test_006239,0,1,0,Raid in hunt for Afghan hostages,\US and Afghan forces raid houses in Kabul as part of a hunt for three UN workers kidnapped last month.,Raid in hunt for Afghan hostages \US and Afghan forces raid houses in Kabul as part of a hunt for three UN workers kidnapped last month.,test
agnews_test_007186,1,2,1,Red Sox aim for jugular,"While the Yankees were quietly celebrating their free agency victory over the Red Sox, snaring New Englander Carl Pavano with a four-year deal in excess of \$38 million, no one gloated too long.","Red Sox aim for jugular While the Yankees were quietly celebrating their free agency victory over the Red Sox, snaring New Englander Carl Pavano with a four-year deal in excess of \$38 million, no one gloated too long.",test
agnews_test_006720,3,4,3,Microsoft sues over fake labels,"Microsoft has sued eight US computer resellers who it says bought or sold counterfeit Certificate of Authenticity labels or genuine labels that had been separated from their related software, all in breach of copyright and trade mark laws.","Microsoft sues over fake labels Microsoft has sued eight US computer resellers who it says bought or sold counterfeit Certificate of Authenticity labels or genuine labels that had been separated from their related software, all in breach of copyright and trade mark laws.",test
agnews_test_001956,3,4,3,Sandia Motor Speedway for Sale on eBay (AP),AP - And the race is off! Only 29 days and some odd hours left to place your bid on eBay to buy the Sandia Motor Speedway.,Sandia Motor Speedway for Sale on eBay (AP) AP - And the race is off! Only 29 days and some odd hours left to place your bid on eBay to buy the Sandia Motor Speedway.,test
agnews_test_002594,2,3,2,Touchy Times at Midas,The auto maintenance company has a simple business but a complicated prognosis.,Touchy Times at Midas The auto maintenance company has a simple business but a complicated prognosis.,test
agnews_test_001801,1,2,1,Celtic captain McNamara out for a month,Celtic captain Jackie McNamara will be sidelined for at least a month after sustaining ankle ligament damage in Tuesday #39;s 3-1 Champions League defeat to Barcelona.,Celtic captain McNamara out for a month Celtic captain Jackie McNamara will be sidelined for at least a month after sustaining ankle ligament damage in Tuesday #39;s 3-1 Champions League defeat to Barcelona.,test
agnews_test_005814,2,3,2,Mass. franchisees hit Shell in lawsuit,"Four years after filing suit against the Royal Dutch/Shell Group of Cos., Shell service station owners in Massachusetts went before a US District Court judge in Boston yesterday, charging that Shell took several measures in the late 1990s to drive them out of business.","Mass. franchisees hit Shell in lawsuit Four years after filing suit against the Royal Dutch/Shell Group of Cos., Shell service station owners in Massachusetts went before a US District Court judge in Boston yesterday, charging that Shell took several measures in the late 1990s to drive them out of business.",test
agnews_test_002298,2,3,2,"For Jobs, Brazilians Desert Their Cities","A growing number of Brazilians are finding it increasingly difficult to get good jobs in big metropolitan areas like So Paulo and Rio de Janeiro, and are looking elsewhere.","For Jobs, Brazilians Desert Their Cities A growing number of Brazilians are finding it increasingly difficult to get good jobs in big metropolitan areas like So Paulo and Rio de Janeiro, and are looking elsewhere.",test
agnews_test_006563,3,4,3,Planned Grand Canyon Flood Seeks to Reverse Erosion,"Description: Researchers flooded the Colorado River last week, in an attempt to reverse erosion in the Grand Canyon. NPR #39;s Liane Hansen speaks to Denny Fenn, director of the Southwest Biological Science Center, about the experiment #39;s preliminary findings.","Planned Grand Canyon Flood Seeks to Reverse Erosion Description: Researchers flooded the Colorado River last week, in an attempt to reverse erosion in the Grand Canyon. NPR #39;s Liane Hansen speaks to Denny Fenn, director of the Southwest Biological Science Center, about the experiment #39;s preliminary findings.",test
agnews_test_007311,3,4,3,Music file-sharing case heads to high court,"eeding the pleas of the entertainment industry, the US Supreme Court has agreed to consider calling a halt to Internet file-sharing that allows millions of computer users to obtain free copies of movies and music.","Music file-sharing case heads to high court eeding the pleas of the entertainment industry, the US Supreme Court has agreed to consider calling a halt to Internet file-sharing that allows millions of computer users to obtain free copies of movies and music.",test
agnews_test_003184,2,3,2,US Airways to Cut Hundreds of Jobs,"US Airways Group Inc. plans to eliminate ""hundreds"" of management and nonunion jobs and cut top executives' pay by between 5 and 10 percent.","US Airways to Cut Hundreds of Jobs US Airways Group Inc. plans to eliminate ""hundreds"" of management and nonunion jobs and cut top executives' pay by between 5 and 10 percent.",test
agnews_test_004794,2,3,2,Gateway reports smaller net loss as restructuring continues,Gateway Inc. reported a narrowed net loss in the first quarter as it continues to restructure its operations and integrate its acquisition of eMachines.,Gateway reports smaller net loss as restructuring continues Gateway Inc. reported a narrowed net loss in the first quarter as it continues to restructure its operations and integrate its acquisition of eMachines.,test
agnews_test_005659,3,4,3,This week in game news,They risked hypothermia and fought off the effects of sleep deprivation so they could be among the first to achieve their quest in the wee hours of the morning.,This week in game news They risked hypothermia and fought off the effects of sleep deprivation so they could be among the first to achieve their quest in the wee hours of the morning.,test
agnews_test_003428,0,1,0,Kenyan tree planter wins Nobel Peace Prize: report,"LONDON (CBS.MW) -- Kenyan tree planter and government minister Wangari Maathai has won the Nobel Peace Prize, Agence France-Presse said.","Kenyan tree planter wins Nobel Peace Prize: report LONDON (CBS.MW) -- Kenyan tree planter and government minister Wangari Maathai has won the Nobel Peace Prize, Agence France-Presse said.",test
agnews_test_003017,2,3,2,Poor nations seek WTO textile aid,"With 40 years of textile quotas about to be abolished in a move to help developing nations, a group of the world #39;s poorest countries are asking for a different approach: special trade deals to protect them from a free-for-all.","Poor nations seek WTO textile aid With 40 years of textile quotas about to be abolished in a move to help developing nations, a group of the world #39;s poorest countries are asking for a different approach: special trade deals to protect them from a free-for-all.",test
agnews_test_006468,0,1,0,2 Ex-Officers Nabbed in Venezuela Slaying,"National Guard troops arrested two brothers Friday in connection with a state prosecutor's killing, just days after two suspects in the car bombing case were shot dead by police, authorities said.","2 Ex-Officers Nabbed in Venezuela Slaying National Guard troops arrested two brothers Friday in connection with a state prosecutor's killing, just days after two suspects in the car bombing case were shot dead by police, authorities said.",test
agnews_test_007250,2,3,2,US retail sales climb 0.1 percent in November,"WASHINGTON : US retail sales rose 0.1 percent in November, a better than expected start to the crucial holiday shopping season, seasonally adjusted government figures showed.","US retail sales climb 0.1 percent in November WASHINGTON : US retail sales rose 0.1 percent in November, a better than expected start to the crucial holiday shopping season, seasonally adjusted government figures showed.",test
agnews_test_006096,2,3,2,Auction for Yukos core set for Dec. 19,"A planned sale of Russian energy giant Yukos #39; main asset has become clouded by confusion over the price, the participants and the legality of the sale.","Auction for Yukos core set for Dec. 19 A planned sale of Russian energy giant Yukos #39; main asset has become clouded by confusion over the price, the participants and the legality of the sale.",test
agnews_test_004177,3,4,3,Microsoft Tests Advanced IM for Enterprises,"The Istanbul technology is meant to replace MSN chat and Windows Messenger. Microsoft has not released much information on the technology, which may not reach market until next year or even later.","Microsoft Tests Advanced IM for Enterprises The Istanbul technology is meant to replace MSN chat and Windows Messenger. Microsoft has not released much information on the technology, which may not reach market until next year or even later.",test
agnews_test_003313,3,4,3,Microsoft Includes SP2 in Windows XP Embedded,Customers using Windows XP Embedded will be able to use a downloadable preview to test the new software for conflicts with existing drivers.,Microsoft Includes SP2 in Windows XP Embedded Customers using Windows XP Embedded will be able to use a downloadable preview to test the new software for conflicts with existing drivers.,test
agnews_test_002118,0,1,0,"Attackers shoot, burn villagers in east Congo, killing 14, UN says (Canadian Press)","Canadian Press - KINSHASA, Congo (AP) - Attackers overran a sleeping village in east Congo's lawless Ituri province Monday and slaughtered 14 residents, including seven children who were burned alive, a UN spokeswoman said.","Attackers shoot, burn villagers in east Congo, killing 14, UN says (Canadian Press) Canadian Press - KINSHASA, Congo (AP) - Attackers overran a sleeping village in east Congo's lawless Ituri province Monday and slaughtered 14 residents, including seven children who were burned alive, a UN spokeswoman said.",test
agnews_test_003775,3,4,3,Bourses set for losses after Wall St falls (FT.com),"FT.com - European equity markets were poised for opening losses on Thursday following a weak session on Wall Street overnight, while caution was likely ahead of results from Nokia, the leading mobile handset maker.","Bourses set for losses after Wall St falls (FT.com) FT.com - European equity markets were poised for opening losses on Thursday following a weak session on Wall Street overnight, while caution was likely ahead of results from Nokia, the leading mobile handset maker.",test
agnews_test_006086,3,4,3,Oracle gets with the patch programme,"The company said Thursday that it will release security bulletins and accompanying patches for its products on 18 January, 12 April, 12 July and 18 October.","Oracle gets with the patch programme The company said Thursday that it will release security bulletins and accompanying patches for its products on 18 January, 12 April, 12 July and 18 October.",test
agnews_test_003183,2,3,2,webcrawler: A9.com is cool,NOW heres something else thats off the mind. Theres no more need to make mental or computer notes while searching the Internet.,webcrawler: A9.com is cool NOW heres something else thats off the mind. Theres no more need to make mental or computer notes while searching the Internet.,test
agnews_test_000449,2,3,2,Botswana miners 'face dismissal',Botswana's giant Debswana diamond mining firm says it will sack workers who carry on with an illegal stoppage.,Botswana miners 'face dismissal' Botswana's giant Debswana diamond mining firm says it will sack workers who carry on with an illegal stoppage.,test
agnews_test_002717,1,2,1,China Wins Paralympics,"China dominated the medals race at the Paralympic Games that ended Tuesday, and Chinese officials expect a similar performance when Beijing hosts the games in four years","China Wins Paralympics China dominated the medals race at the Paralympic Games that ended Tuesday, and Chinese officials expect a similar performance when Beijing hosts the games in four years",test
agnews_test_005550,0,1,0,Dutch Lawmakers Say Threat Underestimated (AP),AP - Dutch lawmakers accused the government Thursday of underestimating the threat from Islamic terrorists and failing to protect a filmmaker slain by a suspected Muslim radical.,Dutch Lawmakers Say Threat Underestimated (AP) AP - Dutch lawmakers accused the government Thursday of underestimating the threat from Islamic terrorists and failing to protect a filmmaker slain by a suspected Muslim radical.,test
agnews_test_005618,2,3,2,UPDATE 4-New York #39;s Spitzer charges Universal Life with fraud,"New York Attorney General Eliot Spitzer on Friday filed suit against Universal Life Resources (ULR), charging the life and disability insurance broker with taking fraudulent kick-backs for steering business to certain insurers ","UPDATE 4-New York #39;s Spitzer charges Universal Life with fraud New York Attorney General Eliot Spitzer on Friday filed suit against Universal Life Resources (ULR), charging the life and disability insurance broker with taking fraudulent kick-backs for steering business to certain insurers",test
agnews_test_001625,3,4,3,"CRN INTERVIEW: JOHN FOWLER, SUN Sun #39;s Fowler: Rising Sales","While Hewlett-Packard, Dell and IBM are the recognized leaders of the X86 server market, one player has surprisingly begun to gain ground.","CRN INTERVIEW: JOHN FOWLER, SUN Sun #39;s Fowler: Rising Sales While Hewlett-Packard, Dell and IBM are the recognized leaders of the X86 server market, one player has surprisingly begun to gain ground.",test
agnews_test_004772,1,2,1,UPDATE 2-Spaniards Garcia and Lara share Volvo Masters lead,Sergio Garcia showed the consistency that has lifted his game this year with a four-under-par 67 in difficult conditions to share the Volvo Masters lead with Spanish compatriot Jose Manuel Lara.,UPDATE 2-Spaniards Garcia and Lara share Volvo Masters lead Sergio Garcia showed the consistency that has lifted his game this year with a four-under-par 67 in difficult conditions to share the Volvo Masters lead with Spanish compatriot Jose Manuel Lara.,test
agnews_test_002636,2,3,2,Crude Oil Futures Rise Above \$50 on Threat to Nigerian Supply,Crude oil futures rose above \$50 a barrel in New York on concern rebel attacks in Nigeria may reduce production while US inventories are near a 29-year low because of disruptions caused by Hurricane Ivan.,Crude Oil Futures Rise Above \$50 on Threat to Nigerian Supply Crude oil futures rose above \$50 a barrel in New York on concern rebel attacks in Nigeria may reduce production while US inventories are near a 29-year low because of disruptions caused by Hurricane Ivan.,test
agnews_test_003776,3,4,3,Dual Internal Clocks Control Fruit Flies -Study (Reuters),"Reuters - Humans are not the only creatures with\an internal biological clock. Fruit flies have two, which\separately control morning and evening activity, scientists\said Wednesday.","Dual Internal Clocks Control Fruit Flies -Study (Reuters) Reuters - Humans are not the only creatures with\an internal biological clock. Fruit flies have two, which\separately control morning and evening activity, scientists\said Wednesday.",test
agnews_test_004937,0,1,0,15 killed in Iraq hotel explosion,"BAGHDAD: Fifteen people were killed and eight others injured in an explosion that hit a hotel last night in the northern Iraqi city of Tikrit, police and hospital officials said.","15 killed in Iraq hotel explosion BAGHDAD: Fifteen people were killed and eight others injured in an explosion that hit a hotel last night in the northern Iraqi city of Tikrit, police and hospital officials said.",test
agnews_test_001473,1,2,1,Roddick bounced,"Andy Roddick of the United States ran into a bold, bigger version of himself at the US Open, and 6-foot-6 Joachim Johansson of Sweden sent the defending champion home.","Roddick bounced Andy Roddick of the United States ran into a bold, bigger version of himself at the US Open, and 6-foot-6 Joachim Johansson of Sweden sent the defending champion home.",test
agnews_test_001634,3,4,3,Novell sees a 'both-source' future,CEO asserts the future of software development will not be found in the open-source or proprietary models.,Novell sees a 'both-source' future CEO asserts the future of software development will not be found in the open-source or proprietary models.,test
